iter	Passed	Remaining
399	16161	24242
400	16202	24202
401	16244	24164
402	16283	24121
403	16322	24080
404	16362	24038
405	16400	23995
406	16439	23952
407	16480	23912
408	16518	23869
409	16558	23827
410	16597	23786
411	16636	23743
412	16676	23702
413	16715	23660
414	16755	23619
415	16793	23576
416	16834	23535
417	16874	23494
418	16913	23453
419	16953	23411
420	16992	23369
421	17032	23328
422	17071	23287
423	17110	23244
424	17151	23204
425	17192	23165
426	17232	23124
427	17280	23094
428	17323	23057
429	17365	23019
430	17406	22980
431	17447	22940
432	17488	22900
433	17526	22857
434	17566	22816
435	17608	22777
436	17654	22745
437	17697	22707
438	17739	22669
439	17780	22629
440	17820	22589
441	17861	22549
442	17902	22509
443	17941	22467
444	17981	22425
445	18020	22384
446	18062	22346
447	18105	22308
448	18146	22268
449	18186	22227
450	18226	22187
451	18267	22147
452	18306	22105
453	18347	22065
454	18387	22024
455	18425	21981
456	18465	21940
457	18505	21899
458	18544	21857
459	18584	21816
460	18624	21776
461	18667	21738
462	18706	21696
463	18745	21654
464	18784	21612
465	18821	21568
466	18860	21525
467	18898	21482
468	18935	21438
469	18975	21397
470	19013	21355
471	19051	21311
472	19092	21272
473	19129	21228
474	19167	21185
475	19208	21145
476	19246	21102
477	19286	21061
478	19326	21020
479	19365	20979
480	19405	20938
481	19446	20898
482	19485	20857
483	19526	20817
484	19565	20775
485	19603	20733
486	19642	20691
487	19684	20652
488	19722	20609
489	19761	20567
490	19801	20526
491	19841	20486
492	19881	20445
493	19919	20403
494	19959	20362
495	19999	20322
496	20039	20281
497	20081	20242
498	20119	20200
499	20160	20160
500	20199	20118
501	20236	20075
502	20273	20031
503	20311	19988
504	20348	19945
505	20386	19903
506	20424	19860
507	20462	19817
508	20499	19774
509	20537	19731
510	20579	19693
511	20621	19655
512	20662	19615
513	20703	19576
514	20744	19535
515	20784	19495
516	20828	19458
517	20869	19418
518	20909	19378
519	20948	19337
520	20987	19295
521	21026	19254
522	21065	19212
523	21105	19172
524	21144	19130
525	21183	19089
526	21224	19049
527	21263	19008
528	21303	18967
529	21342	18926
530	21381	18884
531	21419	18843
532	21457	18800
533	21495	18758
534	21537	18719
535	21575	18677
536	21614	18635
537	21653	18594
538	21693	18554
539	21736	18516
540	21775	18474
541	21813	18432
542	21851	18390
543	21890	18349
544	21930	18308
545	21971	18269
546	22014	18231
547	22056	18192
548	22095	18151
549	22135	18110
550	22173	18068
551	22211	18026
552	22250	17985
553	22287	17942
554	22323	17899
555	22361	17856
556	22400	17815
557	22440	17775
558	22479	17734
559	22516	17691
560	22554	17649
561	22592	17607
562	22630	17565
563	22668	17523
564	22709	17484
565	22749	17444
566	22787	17402
567	22825	17359
568	22863	17318
569	22902	17277
570	22941	17236
571	22980	17195
572	23018	17153
573	23057	17112
574	23097	17071
575	23138	17032
576	23180	16993
577	23220	16953
578	23259	16912
579	23299	16872
580	23339	16831
581	23377	16790
582	23416	16748
583	23455	16708
584	23496	16668
585	23539	16630
586	23578	16589
587	23619	16549
588	23658	16508
589	23698	16468
590	23737	16427
591	23776	16386
592	23817	16346
593	23857	16306
594	23894	16264
595	23935	16224
596	23974	16183
597	24015	16144
598	24054	16103
599	24094	16062
600	24134	16022
601	24173	15982
602	24213	15941
603	24255	15902
604	24296	15863
605	24334	15821
606	24374	15781
607	24415	15741
608	24457	15702
609	24499	15663
610	24541	15624
611	24580	15583
612	24619	15542
613	24657	15501
614	24695	15459
615	24736	15420
616	24775	15379
617	24812	15337
618	24849	15295
619	24886	15253
620	24924	15211
621	24961	15169
622	24999	15128
623	25036	15086
624	25074	15044
625	25112	15003
626	25150	14962
627	25189	14921
628	25227	14880
629	25265	14838
630	25303	14797
631	25340	14755
632	25377	14713
633	25417	14673
634	25460	14634
635	25500	14594
636	25540	14554
637	25582	14515
638	25626	14477
639	25667	14438
640	25708	14398
641	25750	14359
642	25791	14319
643	25830	14278
644	25869	14238
645	25910	14198
646	25950	14158
647	25988	14117
648	26029	14077
649	26069	14037
650	26108	13996
651	26147	13956
652	26189	13916
653	26229	13876
654	26269	13836
655	26308	13796
656	26348	13755
657	26391	13716
658	26433	13677
659	26474	13638
660	26514	13598
661	26555	13558
662	26595	13518
663	26637	13479
664	26674	13437
665	26714	13397
666	26756	13358
667	26796	13317
668	26837	13278
669	26875	13237
670	26913	13196
671	26952	13155
672	26993	13115
673	27032	13074
674	27072	13034
675	27111	12994
676	27150	12953
677	27189	12912
678	27229	12872
679	27270	12833
680	27309	12792
681	27348	12751
682	27387	12711
683	27426	12670
684	27465	12630
685	27508	12591
686	27547	12550
687	27586	12510
688	27625	12469
689	27663	12428
690	27704	12388
691	27746	12349
692	27790	12311
693	27828	12270
694	27866	12229
695	27904	12188
696	27943	12147
697	27980	12106
698	28019	12065
699	28057	12024
700	28094	11983
701	28131	11941
702	28169	11900
703	28206	11859
704	28244	11818
705	28282	11777
706	28321	11737
707	28359	11696
708	28398	11655
709	28439	11616
710	28478	11575
711	28519	11535
712	28558	11495
713	28597	11455
714	28642	11416
715	28684	11377
716	28728	11339
717	28771	11300
718	28815	11261
719	28857	11222
720	28900	11183
721	28941	11143
722	28984	11104
723	29024	11064
724	29064	11024
725	29107	10985
726	29147	10945
727	29188	10905
728	29226	10864
729	29267	10825
730	29306	10784
731	29345	10744
732	29383	10703
733	29422	10662
734	29461	10622
735	29500	10581
736	29540	10541
737	29579	10501
738	29620	10461
739	29660	10421
740	29699	10380
741	29740	10340
742	29780	10300
743	29819	10260
744	29860	10220
745	29899	10180
746	29939	10140
747	29980	10100
748	30020	10060
749	30059	10019
750	30100	9979
751	30141	9940
752	30181	9900
753	30222	9860
754	30263	9820
755	30304	9780
756	30344	9740
757	30386	9701
758	30426	9661
759	30465	9620
760	30507	9581
761	30547	9541
762	30587	9500
763	30626	9460
764	30667	9420
765	30706	9380
766	30744	9339
767	30785	9299
768	30825	9259
769	30865	9219
770	30904	9179
771	30945	9139
772	30983	9098
773	31023	9058
774	31062	9018
775	31101	8977
776	31141	8937
777	31182	8897
778	31224	8858
779	31265	8818
780	31307	8778
781	31347	8738
782	31386	8698
783	31426	8658
784	31463	8617
785	31503	8577
786	31544	8537
787	31584	8497
788	31621	8456
789	31660	8416
790	31698	8375
791	31737	8334
792	31776	8294
793	31816	8254
794	31856	8214
795	31895	8174
796	31934	8133
797	31974	8093
798	32014	8053
799	32052	8013
800	32090	7972
801	32127	7931
802	32166	7891
803	32205	7850
804	32243	7810
805	32282	7770
806	32319	7729
807	32356	7688
808	32393	7647
809	32431	7607
810	32468	7566
811	32506	7526
812	32544	7485
813	32582	7445
814	32619	7404
815	32659	7364
816	32698	7324
817	32736	7283
818	32774	7243
819	32813	7202
820	32851	7162
821	32889	7122
822	32928	7081
823	32966	7041
824	33004	7001
825	33043	6960
826	33081	6920
827	33120	6880
828	33159	6839
829	33199	6799
830	33238	6759
831	33277	6719
832	33315	6679
833	33356	6639
834	33395	6599
835	33436	6559
836	33475	6519
837	33513	6478
838	33551	6438
839	33592	6398
840	33631	6358
841	33674	6318
842	33713	6278
843	33752	6238
844	33791	6198
845	33832	6158
846	33871	6118
847	33911	6078
848	33951	6038
849	33991	5998
850	34031	5958
851	34070	5918
852	34109	5878
853	34148	5838
854	34187	5797
855	34226	5757
856	34265	5717
857	34304	5677
858	34342	5637
859	34381	5597
860	34421	5556
861	34461	5517
862	34500	5476
863	34539	5436
864	34580	5397
865	34619	5356
866	34658	5316
867	34699	5276
868	34738	5236
869	34776	5196
870	34815	5156
871	34852	5116
872	34891	5075
873	34930	5035
874	34969	4995
875	35008	4955
876	35047	4915
877	35086	4875
878	35126	4835
879	35164	4795
880	35203	4755
881	35243	4715
882	35281	4674
883	35321	4634
884	35360	4594
885	35399	4554
886	35437	4514
887	35477	4474
888	35515	4434
889	35555	4394
890	35592	4354
891	35631	4314
892	35669	4273
893	35708	4233
894	35748	4193
895	35788	4154
896	35828	4114
897	35867	4074
898	35906	4034
899	35945	3993
900	35989	3954
901	36030	3914
902	36069	3874
903	36107	3834
904	36146	3794
905	36185	3754
906	36225	3714
907	36265	3674
908	36304	3634
909	36343	3594
910	36382	3554
911	36421	3514
912	36460	3474
913	36501	3434
914	36539	3394
915	36579	3354
916	36620	3314
917	36660	3274
918	36699	3234
919	36736	3194
920	36775	3154
921	36813	3114
922	36852	3074
923	36891	3034
924	36931	2994
925	36969	2954
926	37008	2914
927	37046	2874
928	37085	2834
929	37124	2794
930	37163	2754
931	37202	2714
932	37240	2674
933	37277	2634
934	37314	2594
935	37354	2554
936	37394	2514
937	37432	2474
938	37470	2434
939	37509	2394
940	37547	2354
941	37585	2314
942	37625	2274
943	37664	2234
944	37702	2194
945	37740	2154
946	37779	2114
947	37818	2074
948	37857	2034
949	37897	1994
950	37938	1954
951	37978	1914
952	38018	1874
953	38058	1835
954	38097	1795
955	38138	1755
956	38176	1715
957	38216	1675
958	38255	1635
959	38293	1595
960	38332	1555
961	38374	1515
962	38412	1475
963	38452	1435
964	38491	1396
965	38529	1356
966	38571	1316
967	38610	1276
968	38649	1236
969	38689	1196
970	38727	1156
971	38764	1116
972	38802	1076
973	38841	1036
974	38879	996
975	38919	957
976	38961	917
977	39003	877
978	39046	837
979	39086	797
980	39125	757
981	39163	717
982	39205	678
983	39243	638
984	39282	598
985	39321	558
986	39360	518
987	39400	478
988	39441	438
989	39482	398
990	39523	358
991	39562	319
992	39598	279
993	39636	239
994	39673	199
995	39711	159
996	39750	119
997	39789	79
998	39828	39
999	39867	0
