iter	AUC	CrossEntropy	Accuracy
138	0.9938061833	0.1268955025	0.9588688946
139	0.9938516319	0.1264177925	0.9588688946
140	0.9938797355	0.1261570595	0.9588688946
141	0.9939028621	0.1257465823	0.9588688946
142	0.9939507842	0.1252671073	0.9588688946
143	0.9939739108	0.124826701	0.9588688946
144	0.9940052629	0.1246246789	0.9588688946
145	0.9940664172	0.123980858	0.9588688946
146	0.9941853583	0.1233722324	0.9588688946
147	0.9942217171	0.1229092517	0.9588688946
148	0.9942398667	0.1226140196	0.9588688946
149	0.9942547679	0.1223068531	0.9588688946
150	0.9943282604	0.121824289	0.9595115681
151	0.9943827987	0.1215485423	0.9595115681
152	0.9944290519	0.1211697301	0.9601542416
153	0.994476974	0.1207602631	0.9595115681
154	0.9945116639	0.1206171384	0.9595115681
155	0.9945347905	0.1203311832	0.9595115681
156	0.9946041703	0.1199455261	0.9595115681
157	0.994635582	0.119559163	0.9595115681
158	0.9946421981	0.119425678	0.9595115681
159	0.9946322441	0.1191308774	0.9601542416
160	0.9946388602	0.1189273648	0.9601542416
161	0.9946438074	0.1188802057	0.9601542416
162	0.9946636558	0.1185822573	0.9601542416
163	0.9947495461	0.1177528401	0.9614395887
164	0.9948057532	0.1172844561	0.9614395887
165	0.9948321581	0.1167838874	0.9614395887
166	0.9948404431	0.1165338433	0.9620822622
167	0.9948717952	0.1163016273	0.9620822622
168	0.9949577451	0.1157397488	0.9633676093
169	0.9949759245	0.1153227406	0.9633676093
170	0.9950039983	0.115092025	0.9633676093
171	0.9950188398	0.114730227	0.9640102828
172	0.9950519204	0.1143317235	0.9633676093
173	0.9951146841	0.1137584696	0.9640102828
174	0.9951609373	0.1133888656	0.9640102828
175	0.9951774478	0.1131387921	0.9640102828
176	0.9951989651	0.1129146958	0.9640102828
177	0.9951989651	0.1126161786	0.9640102828
178	0.9952386022	0.1121617687	0.9640102828
179	0.9952633977	0.111868645	0.9646529563
180	0.9952914715	0.1114889993	0.9646529563
181	0.9953327775	0.1110888091	0.9646529563
182	0.9953525662	0.1108137783	0.9646529563
183	0.9954285622	0.1101043721	0.9646529563
184	0.9954516888	0.1099179422	0.9652956298
185	0.9954781532	0.1097717481	0.9652956298
186	0.9955177903	0.1092834767	0.9652956298
187	0.9955310225	0.1091734977	0.9652956298
188	0.9955442548	0.1089937852	0.9652956298
189	0.9955838919	0.1086958662	0.9652956298
190	0.9956417084	0.1083176522	0.9652956298
191	0.9956516027	0.108237828	0.9646529563
192	0.9956714511	0.1079896471	0.9646529563
193	0.9957028627	0.1076409504	0.9646529563
194	0.9957358837	0.1071427255	0.9652956298
195	0.995739162	0.1070018268	0.9652956298
196	0.9957689047	0.1067078696	0.9652956298
